AREA,TAVE,TMAX,TMIN,RF,MWUTM,IW,CHA,CHM,PS,RD,SS
阿里山,14.4,21.6/5,9.4/12,592.4,11.1/150.0/20,29.6/280.0/19,88,44/18,764.4,24,103.3
鞍部,21.7,27.5/4,16.9/25,522,16.2/190.0/19,37.8/180.0/19,92,21276,918.6,14,134.6
板橋,28.5,35.9/22,23.8/21,176.5,10.7/100.0/20,24.8/60.0/19,73,47/22,1007.8,13,213.8
成功,27.2,33.9/6,23.4/21,701.4,25.6/180.0/19,39.6/190.0/19,81,55/29,1005.3,15,162.8
嘉義,27.5,34.2/11,22.1/21,252.3,12.7/140.0/19,29.1/110.0/19,84,20394,1005.9,16,179.3
大武,27,34.2/5,22.5/14,1037.2,9.6/180.0/19,21.6/200.0/19,82,52/29,1008.7,15,154.6
東吉島,28.2,31.6/3,24.4/9,270.8,30.3/160.0/20,44.0/170.0/20,82,25294,1004.1,9,215.5
恆春,27.4,32.6/11,23.2/19,847.6,13.2/290.0/19,27.4/280.0/19,83,53/22,1006.6,20,146.2
新竹,28.1,34.0/8,21.8/18,93.7,8.0/20.0/19,20.4/160.0/19,76,50/19,1005.7,10,207.3
花蓮,27.1,32.7/7,22.5/20,477.5,30.1/20.0/19,58.4/40.0/19,76,55/18,1007.6,16,196.3
高雄,28.3,34.8/3,23.0/20,853,15.0/230.0/19,29.5/210.0/19,80,19419,1008.6,12,169.8
基隆,28.2,35.2/21,23.1/25,519.7,15.7/20.0/19,28.8/160.0/19,75,49/21,1006.3,11,171.1
金門,27.3,34.1/16,22.9/26,130.5,17.1/110.0/20,31.9/100.0/20,81,52/19,1006.3,13,167.3
蘭嶼,25,29.8/11,21.5/14,364,33.8/250.0/19,48.7/250.0/19,92,65/18,973.4,19,151.4
馬祖,27.1,34.4/5,21.1/24,59.8,11.1/50.0/19,26.3/50.0/19,85,19480,1000.7,13,185.1
澎湖,28,33.0/6,22.9/20,238.9,20.5/140.0/20,38.6/150.0/20,83,23802,1007.6,7,211.9
彭佳嶼,26.9,31.3/6,23.4/20,73.8,27.0/120.0/19,40.8/140.0/19,84,69/13,998.5,13,233.6
蘇澳,27.6,32.7/7,23.1/23,311.9,22.4/80.0/19,51.5/50.0/19,77,19906,1006.9,18,184.1
日月潭,22.3,29.8/8,18.9/12,127.2,10.7/150.0/19,27.9/140.0/19,87,41/20,899.7,14,120.5
臺中,28.1,34.6/8,23.3/21,328.6,8.9/10.0/19,25.5/10.0/19,77,49/21,999.4,15,163.8
臺南,28.4,34.2/22,23.3/19,461,18.6/170.0/19,32.8/190.0/19,74,48/15,1006.2,13,160.4
臺北,28.8,35.7/10,24.3/18,144.2,11.4/90.0/19,27.9/90.0/19,72,47/22,1008.4,15,201.5
臺東,27.6,33.8/19,22.6/20,779.7,11.9/200.0/19,25.8/200.0/19,79,48/19,1008.3,15,176.4
淡水,27.9,34.4/2,22.2/25,76.3,9.1/120.0/20,28.3/120.0/19,77,50/28,1007,11,201.3
梧棲,28.1,34.2/8,23.3/25,97.2,23.9/350.0/19,37.5/360.0/19,77,57/21,1005.9,13,208
宜蘭,27.8,34.3/10,22.8/25,266.8,16.8/30.0/19,29.8/30.0/19,76,42/17,1008.6,14,209.5
玉山,6.8,18.1/5,2.4/3,477,33.4/140.0/20,48.6/130.0/20,82,14/18,643.9,18,127.5
竹子湖,23.8,30.7/4,19.0/25,452.5,6.7/210.0/19,20.5/360.0/19,84,20180,942.3,15,126
