AREA,TAVE,TMAX,TMIN,RF,MWUTM,IW,CHA,CHM,PS,RD,SS
阿里山,15.2,22.5/12,8.4/8,146.4,4.7/80.0/27,11.3/90.0/27,90,35/26,763.7,13,116.3
鞍部,22.5,28.3/18,18.7/20,521,10.0/190.0/13,22.6/170.0/29,88,22129,918.2,18,78.5
板橋,29.1,36.0/12,23.8/20,116.6,8.6/90.0/26,15.9/60.0/22,70,49/24,1007.4,11,225.7
成功,28.3,33.8/2,23.4/27,387.8,9.8/40.0/4,17.2/40.0/4,73,19085,1004.3,14,179.4
嘉義,28.9,35.0/3,24.0/26,186.1,7.7/250.0/15,11.2/360.0/27,80,19054,1004.4,10,188.4
大武,28.3,35.0/15,23.5/28,264.7,8.9/30.0/27,17.4/50.0/28,76,45/26,1007.4,17,171
東吉島,29.4,33.4/7,25.8/30,15,12.5/30.0/26,16.1/360.0/26,78,57/20,1002.7,5,241.8
恆春,28.6,33.5/4,23.4/28,258.6,11.3/40.0/26,23.9/30.0/28,76,52/21,1004.7,17,171.5
新竹,29.7,37.2/22,23.9/21,19,7.1/50.0/13,19.6/160.0/13,67,43/26,1004.3,6,260.8
花蓮,27.8,33.7/2,23.0/27,325.8,9.4/160.0/14,14.1/50.0/4,80,52/20,1006.8,16,164.8
高雄,29.4,34.7/14,24.6/6,134.5,5.1/310.0/28,11.8/140.0/14,77,57/14,1006.7,11,186.1
基隆,28.1,33.6/12,23.8/20,472.3,8.4/60.0/29,15.4/20.0/29,78,19299,1005.7,17,178.3
金門,28.8,36.7/12,24.6/22,29.9,9.4/60.0/13,19.6/70.0/13,70,43/26,1006.1,5,221.5
蘭嶼,26.1,30.5/14,22.1/28,407.9,21.3/30.0/4,31.1/60.0/26,87,72/20,971.5,17,139.1
馬祖,26.8,32.2/7,23.1/30,141.1,10.0/10.0/29,21.6/10.0/29,89,61/19,1000,16,143.9
澎湖,29.1,33.8/19,24.9/19,14.6,7.7/30.0/2,15.0/10.0/3,78,20668,1006.7,8,228
彭佳嶼,27.3,31.6/12,23.2/25,115.5,17.9/120.0/29,24.1/130.0/27,82,59/19,997.3,11,243.2
蘇澳,27.5,33.1/14,23.1/20,618.4,9.4/110.0/27,19.1/100.0/27,79,18568,1006.4,16,145.5
日月潭,23.3,31.4/13,17.8/26,88.7,9.6/130.0/27,19.1/120.0/28,85,43/28,898.8,10,127.8
臺中,29.3,35.2/3,24.0/29,119.7,4.3/350.0/5,9.4/320.0/5,70,43/26,997.7,6,164.5
臺南,30,35.4/3,25.1/30,39.5,8.5/190.0/14,12.7/200.0/14,72,49/22,1004.6,6,187
臺北,29,36.1/12,24.0/29,210.5,8.6/70.0/26,16.1/60.0/13,72,44/24,1007.8,11,213
臺東,28.5,34.1/1,23.5/27,210.7,6.6/50.0/26,14.9/70.0/26,76,19572,1007.3,15,184
淡水,28.7,34.9/21,22.5/20,173.4,7.2/150.0/29,16.7/110.0/22,71,43/20,1006.4,12,215.6
梧棲,29.5,34.3/14,25.4/29,1.7,13.0/10.0/3,21.0/40.0/3,70,40/27,1004.6,5,236.2
宜蘭,27.4,34.4/7,22.2/20,626.3,8.2/70.0/6,15.0/100.0/2,79,16984,1008.2,20,153.8
玉山,8.4,20.4/25,2.4/5,68.9,25.3/130.0/28,32.5/130.0/28,74,14/26,644.1,8,169.5
竹子湖,23.8,31.1/12,18.6/20,478.8,6.9/20.0/8,15.2/70.0/28,82,21732,941.5,18,162.3
