AREA,TAVE,TMAX,TMIN,RF,MWUTM,IW,CHA,CHM,PS,RD,SS
阿里山,7.4,17.3/1,-0.066666667,172.9,4.7/140.0/23,11.8/340.0/2,79,22/30,766.2,14,98.6
鞍部,9.7,19.2/3,2.5/17,323.2,12.8/360.0/4,22.9/170.0/22,89,15/31,927.4,20,39
板橋,16.2,24.9/3,8.9/31,141.6,7.3/60.0/22,14.5/80.0/6,69,39/29,1021.5,15,49.3
成功,18.5,26.4/10,13.2/17,62.1,9.3/30.0/8,16.2/30.0/8,71,50/18,1016.5,15,26.4
嘉義,16.9,27.4/1,8.4/31,30.5,7.9/20.0/4,14.0/10.0/4,77,36/31,1016.7,11,111.6
大武,20.2,26.1/1,14.8/31,29.1,8.2/30.0/1,16.9/60.0/8,66,17349,1019.6,9,38.9
東吉島,18.7,24.8/1,14.3/17,23.2,19.4/30.0/1,27.1/10.0/1,72,51/29,1014.7,8,102.3
恆春,21.4,26.9/15,16.3/17,9,13.1/40.0/8,25.9/50.0/22,62,42/31,1016.8,6,117.6
新竹,16,25.4/3,8.4/30,59.4,7.4/20.0/8,18.9/20.0/1,74,40/29,1018.3,11,106.8
花蓮,17.6,25.6/10,12.3/18,50.5,10.8/40.0/1,19.6/40.0/1,74,16589,1020,13,44.3
高雄,20.2,28.6/1,13.6/22,13.5,6.1/10.0/4,14.3/340.0/4,68,44/17,1018.9,7,110.2
基隆,16.3,24.8/3,10.4/30,237.9,13.5/10.0/8,19.7/10.0/8,71,46/29,1019.9,17,50.5
金門,14.7,22.4/1,8.7/30,36.3,7.2/50.0/8,17.3/30.0/8,61,25/17,1020.7,7,121.8
蘭嶼,17.7,22.9/10,13.4/17,177.7,22.4/10.0/1,32.0/20.0/1,81,54/30,981.8,22,24.7
馬祖,12.4,20.7/1,7.8/17,35.1,8.2/50.0/8,19.1/360.0/9,68,32/29,1014.2,7,134.8
澎湖,18.3,25.0/1,13.5/17,20.4,11.4/30.0/8,22.5/40.0/1,71,48/29,1019.6,9,108.1
彭佳嶼,15.6,23.1/10,8.8/17,112.1,19.1/360.0/4,30.3/360.0/4,70,46/29,1011.5,15,67
蘇澳,16.3,24.8/10,10.5/30,445.4,9.1/20.0/4,22.5/50.0/4,75,48/29,1020,20,63.6
日月潭,14.2,26.3/1,8.1/17,53,5.8/150.0/26,7.7/160.0/26,84,16984,906.2,11,99.5
臺中,17.1,26.9/24,8.7/18,30,5.8/10.0/4,12.9/20.0/16,71,35/31,1010.1,11,116.1
臺南,17.9,27.5/1,10.8/17,8,10.1/20.0/16,18.6/20.0/16,71,44/31,1016.8,3,126.4
臺北,16.5,24.9/3,11.0/17,86.8,7.7/70.0/6,15.9/90.0/6,70,40/29,1019.5,14,60.5
臺東,19,26.0/8,13.4/17,18.8,6.3/40.0/4,15.8/40.0/4,69,45/31,1020.2,10,44
淡水,15.6,25.5/3,8.5/30,96,7.9/10.0/4,16.2/20.0/4,73,42/29,1020.9,14,74.1
梧棲,16.2,24.5/1,10.2/17,28,15.0/360.0/1,26.7/360.0/1,74,48/17,1017.6,9,129.4
新屋,15.9,24.0/7,9.0/31,65.9,15.1/40.0/9,23.9/50.0/9,73,44/29,1019.8,10,96.4
宜蘭,16,25.4/3,9.7/30,146.3,8.9/330.0/20,14.5/340.0/20,77,42/29,1022.5,14,70.9
玉山,0.9,10.1/31,-0.331034483,129.3,15.6/300.0/13,32.6/280.0/21,73,16/23,641.7,13,154.9
竹子湖,11.3,21.0/10,4.5/17,237.7,8.7/30.0/1,21.8/10.0/9,82,51/31,952,17,80.9
