AREA,TAVE,TMAX,TMIN,RF,MWUTM,IW,CHA,CHM,PS,RD,SS
阿里山,8.5,16.3/19,-0.103703704,409.8,5.7/290.0/13,16.2/270.0/13,80,42782,765.5,16,90.1
鞍部,12,22.5/8,2.3/27,365.5,10.7/350.0/14,19.0/350.0/10,90,42/27,924.1,20,89.5
板橋,17.2,28.9/5,7.7/28,317,6.9/70.0/1,13.6/70.0/1,77,31/28,1017.1,19,76.8
成功,19.5,28.4/19,13.3/11,87.3,10.6/30.0/9,17.2/40.0/9,79,48/28,1013.1,17,36.7
嘉義,18.7,31.9/18,8.9/28,129.7,7.7/260.0/18,16.0/10.0/13,86,35/28,1014,14,120.1
大武,21.1,30.3/18,14.1/28,66.9,7.6/180.0/18,15.7/30.0/14,75,17777,1016.8,16,89.7
東吉島,19.9,26.9/18,14.0/10,105,22.1/30.0/10,28.6/30.0/10,78,46/28,1012.5,13,136.9
恆春,22.7,30.0/19,16.7/25,18.9,10.5/40.0/24,22.4/50.0/14,72,16469,1014.6,6,143.5
新竹,16.7,26.9/5,9.4/28,304.4,6.2/30.0/9,15.4/20.0/10,80,34/28,1015,18,96.6
花蓮,19,26.8/31,12.7/28,126.5,9.7/180.0/8,16.9/60.0/14,80,42/28,1016.2,18,74.5
高雄,21.6,29.7/19,12.8/26,79,5.8/350.0/27,11.8/340.0/27,74,39/27,1016.4,11,159.1
基隆,16.8,26.6/5,8.4/28,317.1,11.9/10.0/10,19.1/20.0/9,79,34/29,1015.7,20,83.2
金門,14.2,23.2/5,6.9/11,248.2,9.4/70.0/9,20.5/70.0/9,75,33/28,1016.7,18,96.4
蘭嶼,19.1,26.6/19,14.4/26,296.3,19.6/20.0/10,27.0/20.0/11,81,20090,979.9,21,65.3
馬祖,12.4,23.5/6,6.0/11,154.1,9.3/60.0/9,19.2/60.0/9,85,41/28,1009.5,16,111.2
澎湖,18.9,27.5/18,12.7/11,134,10.3/10.0/14,22.1/10.0/24,78,40/28,1016.9,14,122.4
彭佳嶼,16.9,25.0/8,10.5/25,197.4,15.7/10.0/10,25.6/360.0/10,77,39/28,1007.1,20,81.7
蘇澳,18.1,25.9/8,10.6/28,192.5,8.3/50.0/9,18.6/20.0/23,79,42/28,1016,20,95
日月潭,15.3,25.2/18,6.3/28,275,7.4/290.0/18,13.4/260.0/18,82,42/28,904.3,16,104.4
臺中,18.3,28.9/18,9.4/28,194.6,5.4/360.0/14,11.2/360.0/10,76,25/28,1007.4,16,109.8
臺南,19.7,29.8/18,11.2/11,96.5,8.1/30.0/27,16.2/60.0/10,78,35/28,1014.4,9,134.1
臺北,17.5,29.4/5,9.4/28,285.7,7.3/60.0/1,15.2/60.0/1,75,33/29,1015.1,19,90.3
臺東,20,30.0/13,13.3/11,62,8.5/40.0/14,20.2/40.0/14,81,48/13,1016.9,12,75.8
淡水,16.1,24.4/2,8.2/28,253.5,7.8/10.0/9,18.1/20.0/9,82,31/28,1016.5,18,88.7
梧棲,17.2,26.6/18,10.3/11,233.3,13.2/350.0/26,26.6/360.0/23,81,39/28,1014.7,16,111.9
新屋,16.3,23.8/8,10.0/26,271.4,13.9/40.0/9,21.4/40.0/9,82,39/28,1016.1,18,83.7
宜蘭,17.7,27.9/19,8.8/28,177.3,7.9/330.0/19,12.3/330.0/19,78,40/28,1018.1,16,101.8
玉山,0.3,8.4/30,-0.47037037,108,15.3/300.0/10,30.0/310.0/13,82,42780,642.7,15,93.3
竹子湖,13.6,24.4/7,5.2/26,330.1,9.3/20.0/10,20.1/20.0/9,85,34/29,948.7,19,99.8
